,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS
0,201166,Aaron Brooks,1610612745,HOU,24.0,80,52,28,0.65,25.0,4.0,9.8,0.404,1.4,3.9,0.366,1.9,2.2,0.866,0.4,1.6,2.0,3.0,1.6,0.6,0.1,11.2
1,201189,Aaron Gray,1610612741,CHI,24.0,56,26,30,0.464,12.8,1.4,3.0,0.485,0.0,0.0,0.0,0.6,1.1,0.576,1.5,2.4,3.9,0.8,0.7,0.3,0.3,3.5
2,201151,Acie Law,1610612737,ATL,24.0,55,33,22,0.6,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.9,1.1,0.817,0.1,0.9,1.1,1.6,0.5,0.2,0.1,2.9
3,200747,Adam Morrison,1610612747,LAL,24.0,52,23,29,0.442,13.7,1.5,4.3,0.359,0.6,1.8,0.333,0.3,0.4,0.739,0.3,1.2,1.5,0.8,0.6,0.2,0.1,4.0
4,1502,Adonal Foyle,1610612753,ORL,34.0,10,6,4,0.6,6.2,0.7,1.1,0.636,0.0,0.0,0.0,0.3,0.6,0.5,0.9,1.7,2.6,0.1,0.3,0.0,0.8,1.7
5,1733,Al Harrington,1610612752,NYK,29.0,73,27,46,0.37,34.9,7.3,16.6,0.439,2.3,6.4,0.364,3.2,4.0,0.793,1.4,4.9,6.2,1.4,2.2,1.2,0.3,20.1
6,201143,Al Horford,1610612737,ATL,23.0,67,41,26,0.612,33.5,4.7,8.9,0.525,0.0,0.0,0.0,2.2,3.1,0.727,2.2,7.1,9.3,2.4,1.5,0.8,1.4,11.5
7,2744,Al Jefferson,1610612750,MIN,24.0,50,17,33,0.34,36.7,9.7,19.5,0.497,0.0,0.1,0.0,3.7,5.0,0.738,3.4,7.5,11.0,1.6,1.8,0.8,1.7,23.1
8,201154,Al Thornton,1610612746,LAC,25.0,71,16,55,0.225,37.4,6.6,14.8,0.446,0.3,1.1,0.253,3.3,4.4,0.754,1.7,3.5,5.2,1.5,1.8,0.8,0.9,16.8
9,201169,Alando Tucker,1610612756,PHX,25.0,30,15,15,0.5,9.4,1.7,4.0,0.43,0.3,0.8,0.348,0.9,1.1,0.788,0.6,0.4,1.0,0.4,0.5,0.2,0.0,4.6
10,101165,Alex Acker,1610612746,LAC,26.0,25,4,21,0.16,8.0,1.2,3.0,0.395,0.3,0.8,0.35,0.2,0.4,0.5,0.3,0.6,1.0,0.5,0.3,0.2,0.2,2.9
11,201582,Alexis Ajinca,1610612766,CHA,21.0,31,11,20,0.355,5.9,0.8,2.2,0.362,0.0,0.1,0.0,0.6,0.9,0.714,0.3,0.7,1.0,0.1,0.4,0.2,0.2,2.3
12,947,Allen Iverson,1610612765,DET,34.0,57,25,32,0.439,36.7,6.1,14.6,0.417,0.5,1.7,0.283,4.8,6.1,0.781,0.5,2.5,3.0,5.0,2.6,1.5,0.1,17.5
13,2405,Amar'e Stoudemire,1610612756,PHX,26.0,53,30,23,0.566,36.8,7.6,14.1,0.539,0.1,0.1,0.429,6.1,7.3,0.835,2.2,5.9,8.1,2.0,2.8,0.9,1.1,21.4
14,101161,Amir Johnson,1610612765,DET,22.0,62,27,35,0.435,14.7,1.6,2.6,0.595,0.0,0.0,0.0,0.4,0.6,0.657,1.6,2.1,3.7,0.3,0.5,0.3,1.0,3.5
15,2760,Anderson Varejao,1610612739,CLE,26.0,81,65,16,0.802,28.5,3.3,6.2,0.536,0.0,0.0,0.0,1.9,3.1,0.616,2.0,5.1,7.2,1.0,1.0,0.9,0.8,8.6
16,101154,Andray Blatche,1610612764,WAS,22.0,71,17,54,0.239,24.0,4.2,8.9,0.471,0.1,0.3,0.238,1.6,2.3,0.704,1.8,3.5,5.3,1.7,1.6,0.7,1.0,10.0
17,2810,Andre Brown,1610612766,CHA,28.0,4,2,2,0.5,10.3,0.3,1.8,0.143,0.0,0.0,0.0,0.5,0.5,1.0,1.8,1.3,3.0,0.3,1.3,0.3,0.0,1.0
18,2738,Andre Iguodala,1610612755,PHI,25.0,82,41,41,0.5,39.9,6.6,14.0,0.473,1.0,3.2,0.307,4.6,6.4,0.724,1.1,4.6,5.7,5.3,2.7,1.6,0.4,18.8
19,1889,Andre Miller,1610612755,PHI,33.0,82,41,41,0.5,36.3,6.0,12.7,0.473,0.2,0.6,0.283,4.1,5.0,0.826,1.5,3.0,4.5,6.5,2.4,1.3,0.2,16.3
20,200745,Andrea Bargnani,1610612761,TOR,23.0,78,30,48,0.385,31.5,5.5,12.3,0.45,1.5,3.7,0.409,2.8,3.4,0.831,0.9,4.4,5.3,1.2,1.7,0.4,1.2,15.4
21,1905,Andrei Kirilenko,1610612762,UTA,28.0,67,42,25,0.627,27.3,3.8,8.5,0.449,0.3,1.1,0.274,3.6,4.6,0.785,1.3,3.5,4.8,2.6,1.8,1.2,1.1,11.6
22,2804,Andres Nocioni,1610612758,SAC,29.0,76,27,49,0.355,26.2,3.9,9.2,0.427,1.6,4.1,0.399,1.9,2.4,0.792,0.7,4.0,4.8,1.3,1.5,0.5,0.4,11.4
23,101106,Andrew Bogut,1610612749,MIL,24.0,36,19,17,0.528,31.2,5.1,8.8,0.577,0.0,0.0,0.0,1.6,2.7,0.571,3.3,7.0,10.3,2.0,2.4,0.6,1.0,11.7
24,101115,Andrew Bynum,1610612747,LAL,21.0,50,40,10,0.8,28.9,5.6,10.0,0.56,0.0,0.0,0.0,3.0,4.3,0.707,2.7,5.2,8.0,1.4,1.7,0.4,1.8,14.3
25,2740,Andris Biedrins,1610612744,GSW,23.0,62,20,42,0.323,30.1,5.0,8.6,0.578,0.0,0.0,0.0,1.9,3.5,0.551,3.6,7.6,11.2,2.0,1.8,1.0,1.5,11.9
26,1712,Antawn Jamison,1610612764,WAS,33.0,81,19,62,0.235,38.2,8.3,17.8,0.468,1.4,3.9,0.351,4.2,5.6,0.754,2.4,6.5,8.9,1.9,1.5,1.2,0.3,22.2
27,1853,Anthony Carter,1610612743,DEN,34.0,78,53,25,0.679,22.9,2.1,4.9,0.433,0.3,1.1,0.239,0.7,1.0,0.731,0.5,2.1,2.6,4.7,2.0,1.2,0.2,5.3
28,1533,Anthony Johnson,1610612753,ORL,34.0,80,58,22,0.725,18.5,1.9,4.8,0.404,0.7,1.7,0.391,0.8,1.0,0.753,0.4,1.5,1.8,2.5,1.0,0.6,0.1,5.3
29,201627,Anthony Morrow,1610612744,GSW,23.0,67,23,44,0.343,22.6,3.8,8.0,0.478,1.3,2.7,0.467,1.2,1.4,0.87,1.2,1.8,3.0,1.2,0.8,0.5,0.2,10.1
30,1515,Anthony Parker,1610612761,TOR,34.0,80,31,49,0.388,33.0,4.0,9.4,0.426,1.2,3.0,0.39,1.5,1.8,0.834,0.6,3.4,4.0,3.4,1.4,1.3,0.2,10.7
