,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS
0,201985,AJ Price,1610612754,IND,23.0,56,23,33,0.411,15.5,2.6,6.3,0.41,1.1,3.1,0.345,1.1,1.3,0.8,0.2,1.4,1.6,1.9,1.1,0.6,0.1,7.3
1,201166,Aaron Brooks,1610612745,HOU,25.0,82,42,40,0.512,35.6,7.0,16.2,0.432,2.5,6.4,0.398,3.0,3.6,0.822,0.7,2.0,2.6,5.3,2.8,0.8,0.2,19.6
2,201189,Aaron Gray,1610612740,NOH,25.0,32,11,21,0.344,9.7,1.3,2.6,0.512,0.0,0.0,0.0,0.6,0.9,0.714,1.4,1.9,3.3,0.7,0.6,0.3,0.3,3.3
3,201151,Acie Law,1610612741,CHI,25.0,26,11,15,0.423,9.0,1.3,2.9,0.467,0.2,0.6,0.313,1.5,1.9,0.776,0.1,0.5,0.7,1.0,0.7,0.4,0.0,4.3
4,200747,Adam Morrison,1610612747,LAL,25.0,31,23,8,0.742,7.8,1.0,2.7,0.376,0.2,0.7,0.238,0.2,0.3,0.625,0.3,0.7,1.0,0.6,0.3,0.1,0.1,2.4
5,1733,Al Harrington,1610612752,NYK,30.0,72,26,46,0.361,30.5,6.2,14.3,0.435,1.9,5.7,0.342,3.3,4.4,0.757,1.2,4.4,5.6,1.5,1.8,0.9,0.4,17.7
6,201143,Al Horford,1610612737,ATL,24.0,81,52,29,0.642,35.1,5.8,10.5,0.551,0.0,0.0,1.0,2.6,3.3,0.789,2.9,7.0,9.9,2.3,1.5,0.7,1.1,14.2
7,2744,Al Jefferson,1610612750,MIN,25.0,76,15,61,0.197,32.4,7.4,14.8,0.498,0.0,0.1,0.0,2.4,3.5,0.68,2.4,6.9,9.3,1.8,1.8,0.8,1.3,17.1
8,201154,Al Thornton,1610612764,WAS,26.0,75,25,50,0.333,27.7,4.3,9.0,0.473,0.1,0.4,0.355,2.0,2.8,0.725,1.5,2.4,3.9,1.2,1.4,0.6,0.5,10.7
9,201169,Alando Tucker,1610612750,MIN,26.0,15,5,10,0.333,6.4,1.1,2.6,0.436,0.1,0.5,0.143,1.1,1.4,0.762,0.4,0.3,0.7,0.3,0.3,0.0,0.0,3.4
10,201582,Alexis Ajinca,1610612766,CHA,22.0,6,1,5,0.167,4.9,0.8,1.7,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.3,0.2,0.2,1.7
11,947,Allen Iverson,1610612755,PHI,35.0,28,10,18,0.357,30.9,4.9,11.3,0.43,0.3,0.9,0.36,3.7,4.7,0.794,0.6,2.3,2.8,4.0,2.3,0.7,0.1,13.8
