,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS
0,920,A.C. Green,1610612748,MIA,37.0,82,50,32,0.61,17.2,1.8,4.0,0.444,0.0,0.1,0.0,1.0,1.4,0.712,1.3,2.5,3.8,0.5,0.5,0.4,0.1,4.5
1,2062,A.J. Guyton,1610612741,CHI,23.0,33,6,27,0.182,19.0,2.4,5.8,0.406,0.8,2.1,0.391,0.5,0.5,0.833,0.3,0.8,1.1,1.9,0.7,0.3,0.2,6.0
2,243,Aaron McKie,1610612755,PHI,28.0,76,51,25,0.671,31.5,4.4,9.4,0.473,0.7,2.2,0.312,2.0,2.6,0.768,0.4,3.7,4.1,5.0,2.7,1.4,0.1,11.6
3,1425,Aaron Williams,1610612751,NJN,29.0,82,26,56,0.317,28.5,3.6,7.9,0.457,0.0,0.0,0.0,3.0,3.8,0.787,2.6,4.6,7.2,1.1,1.6,0.7,1.4,10.2
4,228,Adam Keefe,1610612744,GSW,31.0,67,14,53,0.209,12.6,1.0,2.4,0.403,0.0,0.0,0.333,0.6,0.9,0.619,1.3,1.8,3.1,0.5,0.6,0.4,0.3,2.5
5,1502,Adonal Foyle,1610612744,GSW,26.0,58,8,50,0.138,25.2,2.7,6.5,0.416,0.0,0.0,0.0,0.5,1.2,0.441,2.7,4.3,7.0,0.8,1.4,0.5,2.7,5.9
6,1559,Adrian Griffin,1610612738,BOS,26.0,44,16,28,0.364,8.5,0.8,2.2,0.34,0.2,0.6,0.346,0.4,0.5,0.75,0.6,1.4,2.0,0.6,0.4,0.4,0.1,2.1
7,1733,Al Harrington,1610612754,IND,21.0,78,39,39,0.5,24.3,3.1,7.0,0.444,0.0,0.1,0.143,1.3,2.0,0.656,1.5,3.4,4.9,1.7,1.9,0.8,0.2,7.5
8,673,Alan Henderson,1610612737,ATL,28.0,73,20,53,0.274,24.8,4.1,9.2,0.444,0.0,0.0,0.0,2.4,3.7,0.638,2.5,3.1,5.6,0.7,1.7,0.7,0.4,10.5
9,275,Allan Houston,1610612752,NYK,30.0,78,45,33,0.577,36.6,6.9,15.5,0.449,1.2,3.2,0.381,3.6,3.9,0.909,0.3,3.4,3.6,2.2,2.1,0.7,0.1,18.7
